지점,지점명,일시,합계 일사량(MJ/m2),위도,경도
90,속초,Apr-24,211.45,38.25085,128.56473
90,속초,May-24,646.8,38.25085,128.56473
90,속초,Jun-24,687.49,38.25085,128.56473
90,속초,Jul-24,498.29,38.25085,128.56473
90,속초,Aug-24,588.88,38.25085,128.56473
90,속초,Sep-24,336.95,38.25085,128.56473
90,속초,Oct-24,291.84,38.25085,128.56473
90,속초,Nov-24,269.69,38.25085,128.56473
93,북춘천,Nov-23,275.53,37.94738,127.75443
93,북춘천,Dec-23,226.19,37.94738,127.75443
93,북춘천,Jan-24,289.42,37.94738,127.75443
93,북춘천,Feb-24,277.25,37.94738,127.75443
93,북춘천,Mar-24,456.76,37.94738,127.75443
93,북춘천,Apr-24,548.13,37.94738,127.75443
93,북춘천,May-24,661.55,37.94738,127.75443
93,북춘천,Jun-24,717.25,37.94738,127.75443
93,북춘천,Jul-24,457.72,37.94738,127.75443
93,북춘천,Aug-24,600.72,37.94738,127.75443
93,북춘천,Sep-24,438.4,37.94738,127.75443
93,북춘천,Oct-24,343.41,37.94738,127.75443
93,북춘천,Nov-24,306.0,37.94738,127.75443
95,철원,Nov-23,263.88,38.14787,127.3042
95,철원,Dec-23,208.16,38.14787,127.3042
95,철원,Jan-24,275.31,38.14787,127.3042
95,철원,Feb-24,270.93,38.14787,127.3042
95,철원,Mar-24,456.37,38.14787,127.3042
95,철원,Apr-24,553.23,38.14787,127.3042
95,철원,May-24,669.74,38.14787,127.3042
95,철원,Jun-24,735.4,38.14787,127.3042
95,철원,Jul-24,448.01,38.14787,127.3042
95,철원,Aug-24,597.5,38.14787,127.3042
95,철원,Sep-24,440.0,38.14787,127.3042
95,철원,Oct-24,338.82,38.14787,127.3042
95,철원,Nov-24,286.9,38.14787,127.3042
98,동두천,Nov-23,265.0,37.90188,127.0607
98,동두천,Dec-23,221.07,37.90188,127.0607
98,동두천,Jan-24,265.52,37.90188,127.0607
98,동두천,Feb-24,262.67,37.90188,127.0607
98,동두천,Mar-24,451.79,37.90188,127.0607
98,동두천,Apr-24,530.61,37.90188,127.0607
98,동두천,May-24,634.12,37.90188,127.0607
98,동두천,Jun-24,700.97,37.90188,127.0607
98,동두천,Jul-24,402.69,37.90188,127.0607
98,동두천,Aug-24,538.98,37.90188,127.0607
98,동두천,Sep-24,415.65,37.90188,127.0607
98,동두천,Oct-24,352.74,37.90188,127.0607
98,동두천,Nov-24,284.53,37.90188,127.0607
99,파주,Nov-23,273.12,37.88589,126.76648
99,파주,Dec-23,220.14,37.88589,126.76648
99,파주,Jan-24,273.26,37.88589,126.76648
99,파주,Feb-24,269.59,37.88589,126.76648
99,파주,Mar-24,471.67,37.88589,126.76648
99,파주,Apr-24,541.26,37.88589,126.76648
99,파주,May-24,636.51,37.88589,126.76648
99,파주,Jun-24,717.99,37.88589,126.76648
99,파주,Jul-24,434.63,37.88589,126.76648
99,파주,Aug-24,598.78,37.88589,126.76648
99,파주,Sep-24,443.05,37.88589,126.76648
99,파주,Oct-24,356.24,37.88589,126.76648
99,파주,Nov-24,290.72,37.88589,126.76648
100,대관령,Nov-23,308.68,37.67713,128.71834
100,대관령,Dec-23,249.41,37.67713,128.71834
100,대관령,Jan-24,301.53,37.67713,128.71834
100,대관령,Feb-24,265.17,37.67713,128.71834
100,대관령,Mar-24,432.38,37.67713,128.71834
100,대관령,Apr-24,530.35,37.67713,128.71834
100,대관령,May-24,573.93,37.67713,128.71834
100,대관령,Jun-24,695.96,37.67713,128.71834
100,대관령,Jul-24,468.15,37.67713,128.71834
100,대관령,Aug-24,596.01,37.67713,128.71834
100,대관령,Sep-24,396.67,37.67713,128.71834
100,대관령,Oct-24,321.05,37.67713,128.71834
100,대관령,Nov-24,274.61,37.67713,128.71834
101,춘천,Nov-23,259.71,37.90262,127.7357
101,춘천,Dec-23,208.82,37.90262,127.7357
101,춘천,Jan-24,258.9,37.90262,127.7357
101,춘천,Feb-24,263.58,37.90262,127.7357
101,춘천,Mar-24,427.33,37.90262,127.7357
101,춘천,Apr-24,531.57,37.90262,127.7357
101,춘천,May-24,659.64,37.90262,127.7357
101,춘천,Jun-24,692.15,37.90262,127.7357
101,춘천,Jul-24,457.84,37.90262,127.7357
101,춘천,Aug-24,603.47,37.90262,127.7357
101,춘천,Sep-24,433.29,37.90262,127.7357
101,춘천,Oct-24,332.01,37.90262,127.7357
101,춘천,Nov-24,290.84,37.90262,127.7357
102,백령도,Nov-23,252.2,37.97396,124.71237
102,백령도,Dec-23,174.06,37.97396,124.71237
102,백령도,Jan-24,241.02,37.97396,124.71237
102,백령도,Feb-24,314.5,37.97396,124.71237
102,백령도,Mar-24,530.97,37.97396,124.71237
102,백령도,Apr-24,622.73,37.97396,124.71237
102,백령도,May-24,681.18,37.97396,124.71237
102,백령도,Jun-24,762.86,37.97396,124.71237
102,백령도,Jul-24,461.47,37.97396,124.71237
102,백령도,Aug-24,630.5,37.97396,124.71237
102,백령도,Sep-24,490.53,37.97396,124.71237
102,백령도,Oct-24,415.35,37.97396,124.71237
102,백령도,Nov-24,286.37,37.97396,124.71237
104,북강릉,Nov-23,326.58,37.80456,128.85535
104,북강릉,Dec-23,247.26,37.80456,128.85535
104,북강릉,Jan-24,289.54,37.80456,128.85535
104,북강릉,Feb-24,221.22,37.80456,128.85535
104,북강릉,Mar-24,460.78,37.80456,128.85535
104,북강릉,Apr-24,525.29,37.80456,128.85535
104,북강릉,May-24,684.93,37.80456,128.85535
104,북강릉,Jun-24,683.17,37.80456,128.85535
104,북강릉,Jul-24,485.8,37.80456,128.85535
104,북강릉,Aug-24,590.04,37.80456,128.85535
104,북강릉,Sep-24,353.92,37.80456,128.85535
104,북강릉,Oct-24,302.46,37.80456,128.85535
104,북강릉,Nov-24,256.63,37.80456,128.85535
105,강릉,Nov-23,303.29,37.75147,128.89099
105,강릉,Dec-23,237.24,37.75147,128.89099
105,강릉,Jan-24,275.84,37.75147,128.89099
105,강릉,Feb-24,204.83,37.75147,128.89099
105,강릉,Mar-24,440.45,37.75147,128.89099
105,강릉,Apr-24,504.13,37.75147,128.89099
105,강릉,May-24,649.98,37.75147,128.89099
105,강릉,Jun-24,618.53,37.75147,128.89099
105,강릉,Jul-24,472.88,37.75147,128.89099
105,강릉,Aug-24,565.58,37.75147,128.89099
105,강릉,Sep-24,343.86,37.75147,128.89099
105,강릉,Oct-24,300.64,37.75147,128.89099
105,강릉,Nov-24,247.54,37.75147,128.89099
106,동해,Apr-24,216.02,37.50709,129.12433
106,동해,May-24,673.75,37.50709,129.12433
106,동해,Jun-24,686.36,37.50709,129.12433
106,동해,Jul-24,496.0,37.50709,129.12433
106,동해,Aug-24,605.86,37.50709,129.12433
106,동해,Sep-24,386.7,37.50709,129.12433
106,동해,Oct-24,306.6,37.50709,129.12433
106,동해,Nov-24,169.29,37.50709,129.12433
108,서울,Nov-23,284.12,37.57142,126.9658
108,서울,Dec-23,217.32,37.57142,126.9658
108,서울,Jan-24,279.71,37.57142,126.9658
108,서울,Feb-24,259.99,37.57142,126.9658
108,서울,Mar-24,438.18,37.57142,126.9658
108,서울,Apr-24,558.15,37.57142,126.9658
108,서울,May-24,686.87,37.57142,126.9658
108,서울,Jun-24,714.52,37.57142,126.9658
108,서울,Jul-24,402.43,37.57142,126.9658
108,서울,Aug-24,507.93,37.57142,126.9658
108,서울,Sep-24,439.21,37.57142,126.9658
108,서울,Oct-24,367.11,37.57142,126.9658
108,서울,Nov-24,293.01,37.57142,126.9658
112,인천,Nov-23,269.37,37.47772,126.6249
112,인천,Dec-23,215.72,37.47772,126.6249
112,인천,Jan-24,271.29,37.47772,126.6249
112,인천,Feb-24,279.37,37.47772,126.6249
112,인천,Mar-24,492.39,37.47772,126.6249
112,인천,Apr-24,561.21,37.47772,126.6249
112,인천,May-24,675.22,37.47772,126.6249
112,인천,Jun-24,741.25,37.47772,126.6249
112,인천,Jul-24,455.02,37.47772,126.6249
112,인천,Aug-24,618.19,37.47772,126.6249
112,인천,Sep-24,459.97,37.47772,126.6249
112,인천,Oct-24,374.1,37.47772,126.6249
112,인천,Nov-24,288.86,37.47772,126.6249
114,원주,Nov-23,286.92,37.33749,127.94659
114,원주,Dec-23,219.52,37.33749,127.94659
114,원주,Jan-24,263.68,37.33749,127.94659
114,원주,Feb-24,256.07,37.33749,127.94659
114,원주,Mar-24,454.8,37.33749,127.94659
