세부지역,개수,설비용량(kWh)
강원특별자치도 철원군,66,94.271395
강원특별자치도 양구군,12,16.92296
강원특별자치도 원주시,45,55.80232
강원특별자치도 태백시,59,52.049515
강원특별자치도 삼척시,71,73.293538
강원특별자치도 평창군,60,57.03736
강원특별자치도 고성군,45,35.07702
강원특별자치도 홍천군,45,47.091875
강원특별자치도 화천군,36,24.916815
강원특별자치도 평창군,452,119.80614
강원특별자치도 철원군,687,110.821675
강원특별자치도 영월군,312,54.958575
강원특별자치도 정선군,38,47.79057
강원특별자치도 정선군,202,36.997915
강원특별자치도 강릉시,42,40.99958
강원특별자치도 영월군,36,68.583105
강원특별자치도 인제군,23,11.487305
강원특별자치도 양양군,8,9.27657
강원특별자치도 횡성군,35,28.13699
강원특별자치도 춘천시,24,26.33713
강원특별자치도 강릉시,544,70.405035
강원특별자치도 삼척시,310,75.082335
강원특별자치도 동해시,7,14.79767
강원특별자치도 춘천시,523,48.9647
강원특별자치도 횡성군,398,51.56316
강원특별자치도 홍천군,1117,120.630601
강원특별자치도 양구군,701,81.113485
강원특별자치도 고성군,566,91.061915
강원특별자치도 양양군,81,11.89522
강원특별자치도 인제군,807,102.593295
강원특별자치도 원주시,1030,103.344209
강원특별자치도 화천군,439,73.78159
강원특별자치도 속초시,63,5.72745
강원특별자치도 동해시,93,10.71856
강원특별자치도 태백시,69,17.79585
강원특별자치도 영월군,1,0.9996
강원특별자치도 횡선군,1,0.46624
경기도 화성시,2249,254.347125
경기도 포천시,1083,142.282356
경기도 가평군,319,37.81642
경기도 여주시,1177,175.088235
경기도 안산시,353,47.519
경기도 광주시,407,46.646865
경기도 평택시,944,122.59766
경기도 이천시,953,160.120685
경기도 의정부시,34,6.21406
경기도 양주시,425,40.346075
경기도 연천군,841,182.24632
경기도 파주시,967,107.94968
경기도 광명시,28,4.35422
경기도 군포시,23,10.400615
경기도 수원시,114,10.822705
경기도 용인시,394,47.70197
경기도 안성시,1521,191.58319
경기도 시흥시,318,47.578565
경기도 김포시,955,83.711345
경기도 성남시,35,3.901435
경기도 양평군,408,29.713325
경기도 고양시,387,35.63843
경기도 의왕시,15,1.38198
경기도 동두천시,76,9.767215
경기도 남양주시,244,26.13832
경기도 오산시,63,7.859245
경기도 하남시,53,3.710115
경기도 부천시,26,2.39272
경기도 안양시,27,1.94323
경기도 구리시,13,1.176905
경기도 과천시,4,0.244
충청남도 태안군,599,628.88941
울산광역시 북구,128,28.24799
경기도 여주시,1,1.55771
경상남도 김해시,1030,159.134765
경상남도 합천군,1161,226.062045
경상남도 거창군,995,150.26504
경상남도 고성군,365,81.506395
경상남도 함안군,673,108.19852
경상남도 진주시,828,115.803045
경상남도 하동군,867,152.71261
경상남도 사천시,688,115.240745
경상남도 창녕군,622,118.87406
경상남도 함양군,633,78.165955
경상남도 의령군,348,100.280311
경상남도 창원시,663,147.65389
경상남도 산청군,505,92.41455
울산광역시 울주군,1,0.943
경상남도 밀양시,775,99.180969
경상남도 양산시,298,42.647515
경상남도 남해군,696,76.60842
경상남도 거제시,82,8.323795
경상남도 통영시,91,24.65001
경상북도 칠곡군,1124,134.71951
전북특별자치도 익산시,86,56.272045
경상남도 사천시,1,0.65824
경상남도 합천군,1,0.45828
경상남도 함안군,3,1.98013
경상북도 경주시,1330,218.403415
경상북도 상주시,2571,462.971718
경상북도 의성군,1329,310.72586
경상북도 영천시,1591,228.79907
경상북도 구미시,1675,236.209095
경상북도 청송군,307,35.84251
경상북도 안동시,2054,262.968095
경상북도 포항시,606,119.575765
경상북도 울진군,90,17.01825
경상북도 고령군,550,61.79359
경상북도 영주시,1374,224.864067
경상북도 김천시,1765,281.071917
경상북도 성주군,606,91.293506
경상북도 예천군,1409,207.474246
경상북도 영덕군,837,159.773595
경상북도 경산시,1320,179.250444
대구광역시 군위군,614,141.05103
경상북도 봉화군,787,151.49817
경상북도 영양군,706,135.58998
경상북도 문경시,780,139.35794
경상북도 의성군,2,1.99242
경상북도 청도군,406,44.36832
경상북도 고령군,2,1.83483
전북특별자치도 정읍시,110,47.404465
경상북도 김천시,1,2.30175
경상북도 안동시,1,0.7749
경상북도 칠곡군,4,8.98776
경상북도 예천군,1,0.98406
광주광역시 광산구,1301,255.309651
광주광역시 북구,440,51.75843
광주광역시 서구,182,18.7753
광주광역시 남구,77,8.84505
광주광역시 동구,35,7.147605
전라남도 해남군,1833,627.022795
대구광역시 북구,324,29.52206
대구광역시 서구,136,10.48146
대구광역시 달성군,700,120.140965
대구광역시 군위군,1,0.49468
대구광역시 달서구,497,72.488691
대구광역시 동구,168,16.184605
대구광역시 중구,8,0.17613
대구광역시 수성구,42,2.21857
대구광역시 남구,27,0.516585
대전광역시 대덕구,221,23.73071
대전광역시 유성구,150,19.048385
대전광역시 서구,124,6.744915
대전광역시 동구,109,8.9658
대전광역시 중구,73,3.59202
부산광역시 강서구,630,167.51625
부산광역시 사상구,52,3.853575
부산광역시 기장군,177,43.02766
부산광역시 중구,5,0.17028
부산광역시 동구,9,1.008705
부산광역시 사하구,79,15.26138
부산광역시 부산진구,12,4.306565
부산광역시 남구,13,6.199945
부산광역시 해운대구,20,1.517575
부산광역시 영도구,8,0.45187
부산광역시 금정구,35,7.365345
부산광역시 동래구,23,1.32559
부산광역시 북구,11,1.68937
부산광역시 연제구,7,0.246775
부산광역시 수영구,5,0.1876
부산광역시 서구,3,0.0888
서울특별시 강북구,20,1.02544
서울특별시 강동구,24,7.90935
서울특별시 영등포구,17,0.73339
서울특별시 강서구,32,8.31415
서울특별시 중구,7,0.17141
서울특별시 중랑구,30,2.97763
서울특별시 동대문구,21,0.67667
서울특별시 송파구,35,2.51924
서울특별시 마포구,15,0.72535
서울특별시 구로구,25,1.079385
서울특별시 은평구,24,1.01133
서울특별시 성동구,13,3.491255
서울특별시 강남구,22,2.16601
서울특별시 관악구,26,0.83912
서울특별시 노원구,32,2.59258
서울특별시 성북구,24,0.68039
서울특별시 금천구,20,0.93782
서울특별시 광진구,36,3.20724
서울특별시 서초구,23,1.48514
서울특별시 도봉구,25,1.04694
서울특별시 동작구,18,0.557125
서울특별시 용산구,4,0.10561
서울특별시 서대문구,20,0.70474
서울특별시 양천구,14,0.57788
서울특별시 종로구,6,0.205
세종특별자치시 장군면,41,6.376065
세종특별자치시 전의면,55,13.208645
세종특별자치시 연서면,43,3.69649
세종특별자치시 소정면,24,3.72214
세종특별자치시 조치원읍,36,2.2198
세종특별자치시 연동면,74,13.015115
세종특별자치시 전동면,50,5.03289
세종특별자치시 보람동,3,1.253
세종특별자치시 소담동,1,0.497
세종특별자치시 부강면,54,13.693325
세종특별자치시 금남면,46,4.71777
세종특별자치시 반곡동,4,1.71719
