거래시간,지역, 태양광 발전량(MWh) 
1,경기도,0
2,경기도,
3,경기도,   
4,경기도,   
5,경기도,   
6,경기도,0.16
7,경기도,1.7
8,경기도,9.74
9,경기도,22.8
10,경기도,30.32
11,경기도,36.44
12,경기도,31
13,경기도,34.68
14,경기도,24.7
15,경기도,18.79
16,경기도,19.36
17,경기도,22.85
18,경기도,30.31
19,경기도,16.34
20,경기도,4.48
21,경기도,2.12
22,경기도,0.83
23,경기도,0.07
24,경기도,   
1,강원도,0.04
2,강원도,0.03
3,강원도,0.02
4,강원도,0.01
5,강원도,   
6,강원도,0.41
7,강원도,13.1
8,강원도,38.32
9,강원도,56.15
10,강원도,67.63
11,강원도,63.62
12,강원도,84.13
13,강원도,90.05
14,강원도,71.65
15,강원도,42.49
16,강원도,30.09
17,강원도,40.71
18,강원도,39.45
19,강원도,45.99
20,강원도,31.3
21,강원도,23.63
22,강원도,9.36
23,강원도,2.11
24,강원도,1.02
1,경상남도,1.17
2,경상남도,0.94
3,경상남도,0.6
4,경상남도,0.42
5,경상남도,0.02
6,경상남도,0.03
7,경상남도,4.13
8,경상남도,24.32
9,경상남도,63.06
10,경상남도,98.92
11,경상남도,95.61
12,경상남도,109.97
13,경상남도,119.13
14,경상남도,120.82
15,경상남도,90.03
16,경상남도,59.39
17,경상남도,42.44
18,경상남도,35.76
19,경상남도,26.86
20,경상남도,25.58
21,경상남도,30.07
22,경상남도,22.66
23,경상남도,8.26
24,경상남도,0.99
1,경상북도,1.01
2,경상북도,0.13
3,경상북도,0.03
4,경상북도,0.01
5,경상북도,0.01
6,경상북도,0.13
7,경상북도,13.2
8,경상북도,49.29
9,경상북도,113.8
10,경상북도,185.04
11,경상북도,171.88
12,경상북도,193.04
13,경상북도,196.78
14,경상북도,160.5
15,경상북도,117.64
16,경상북도,82.83
17,경상북도,62.13
18,경상북도,42.96
19,경상북도,44.24
20,경상북도,61.94
21,경상북도,63.04
22,경상북도,45.59
23,경상북도,16.26
24,경상북도,2.9
1,전라남도,1.78
2,전라남도,1.24
3,전라남도,1.19
4,전라남도,0.32
5,전라남도,0.01
6,전라남도,0.59
7,전라남도,30.18
8,전라남도,134.35
9,전라남도,334.47
10,전라남도,574.27
11,전라남도,303.95
12,전라남도,301.6
13,전라남도,279.77
14,전라남도,199.18
15,전라남도,128.32
16,전라남도,107.69
17,전라남도,190.69
18,전라남도,465.12
19,전라남도,376.39
20,전라남도,359.81
21,전라남도,214.29
22,전라남도,51.02
23,전라남도,9.16
24,전라남도,1.44
1,전라북도,0.89
2,전라북도,0.71
3,전라북도,0.43
4,전라북도,0.06
5,전라북도,0.01
6,전라북도,0.04
7,전라북도,8.91
8,전라북도,38.72
9,전라북도,86.87
10,전라북도,135.24
11,전라북도,78.13
12,전라북도,68.13
13,전라북도,57.82
14,전라북도,39.33
15,전라북도,17.73
16,전라북도,8.09
17,전라북도,11.43
18,전라북도,41.86
19,전라북도,53.38
20,전라북도,48.45
21,전라북도,32.91
22,전라북도,8.29
23,전라북도,2.01
24,전라북도,0.66
1,충청남도,0.04
2,충청남도,0.02
3,충청남도,0.01
4,충청남도,0.02
5,충청남도,0
6,충청남도,0.02
7,충청남도,13.17
8,충청남도,59.79
9,충청남도,126.97
10,충청남도,144.68
11,충청남도,102.86
12,충청남도,78.21
13,충청남도,68.48
14,충청남도,51.27
15,충청남도,30.46
16,충청남도,30
17,충청남도,61.25
18,충청남도,123.56
19,충청남도,67.87
20,충청남도,29.57
21,충청남도,4.67
22,충청남도,0.49
23,충청남도,0.03
24,충청남도,0.11
1,충청북도,0.16
2,충청북도,0.03
3,충청북도,0.03
4,충청북도,0.02
5,충청북도,0.03
6,충청북도,0.09
7,충청북도,4.9
8,충청북도,16.84
9,충청북도,49.42
10,충청북도,78.94
11,충청북도,57.01
12,충청북도,62.89
13,충청북도,51.42
14,충청북도,33.48
15,충청북도,24.58
16,충청북도,18.33
17,충청북도,18.68
18,충청북도,35.74
19,충청북도,35.89
20,충청북도,24.82
21,충청북도,17.39
22,충청북도,7.23
23,충청북도,0.88
24,충청북도,0.17
1,제주도,0.07
2,제주도,0.07
3,제주도,0.04
4,제주도,0
5,제주도,0
6,제주도,0.05
7,제주도,8.17
8,제주도,40.85
9,제주도,61.48
10,제주도,80.05
11,제주도,98.87
12,제주도,122.92
13,제주도,142.81
14,제주도,153.87
15,제주도,132.67
16,제주도,106.81
17,제주도,78.84
18,제주도,37.68
19,제주도,19.49
20,제주도,10.59
21,제주도,7.33
22,제주도,2.63
23,제주도,0.4
24,제주도,0.27
1,서울시,   
2,서울시,   
3,서울시,   
4,서울시,   
5,서울시,   
6,서울시,0
7,서울시,0.05
8,서울시,0.5
9,서울시,0.81
10,서울시,1.38
11,서울시,3.47
12,서울시,1.35
13,서울시,1.05
14,서울시,1.47
15,서울시,1.46
16,서울시,1.99
17,서울시,1.24
18,서울시,1.32
19,서울시,0.62
20,서울시,0.04
21,서울시,   
22,서울시,   
23,서울시,   
24,서울시,   
1,인천시,1.8
2,인천시,0
3,인천시,   
4,인천시,   
5,인천시,   
6,인천시,0
7,인천시,0.1
8,인천시,0.86
9,인천시,1.81
10,인천시,4.07
11,인천시,2.73
12,인천시,3.41
13,인천시,3.44
14,인천시,4.18
15,인천시,2.99
16,인천시,3.42
17,인천시,5.07
18,인천시,3.69
19,인천시,2.48
20,인천시,0.06
21,인천시,   
22,인천시,0.1
23,인천시,4
24,인천시,0.38
1,대전시,   
2,대전시,   
3,대전시,   
4,대전시,   
5,대전시,   
6,대전시,0.01
7,대전시,0.07
8,대전시,1.22
9,대전시,2.69
10,대전시,4.38
11,대전시,4.68
12,대전시,6.17
13,대전시,3.76
14,대전시,2.27
15,대전시,1.13
16,대전시,0.76
17,대전시,0.2
18,대전시,0.2
19,대전시,0.46
20,대전시,0.07
21,대전시,   
22,대전시,   
23,대전시,   
24,대전시,   
1,광주시,0.18
2,광주시,0.04
3,광주시,0
4,광주시,   
5,광주시,   
6,광주시,0.01
7,광주시,1.81
8,광주시,7.21
9,광주시,16.22
10,광주시,24.59
11,광주시,27.43
12,광주시,22.13
13,광주시,21.49
14,광주시,12.66
15,광주시,7.38
16,광주시,4.51
17,광주시,3.78
18,광주시,7.53
19,광주시,4.21
20,광주시,1.02
21,광주시,0.44
22,광주시,0.19
23,광주시,0.18
24,광주시,0.18
1,대구시,0
2,대구시,0
3,대구시,   
4,대구시,   
5,대구시,   
6,대구시,0
7,대구시,0.5
8,대구시,2.43
9,대구시,5.64
10,대구시,12.86
11,대구시,14.12
12,대구시,18.27
13,대구시,18.8
14,대구시,19.14
15,대구시,13.95
16,대구시,8.73
17,대구시,4.41
18,대구시,4.29
19,대구시,2.03
20,대구시,3.83
21,대구시,3.02
22,대구시,2.04
23,대구시,0.07
24,대구시,0
1,세종시,   
2,세종시,   
3,세종시,   
4,세종시,   
5,세종시,   
6,세종시,0.02
7,세종시,0.21
8,세종시,2.08
9,세종시,5.63
10,세종시,7.91
11,세종시,7.39
12,세종시,8.63
13,세종시,4.62
14,세종시,2.81
15,세종시,2.15
16,세종시,1.41
17,세종시,0.47
18,세종시,2.63
19,세종시,1.98
20,세종시,0.35
21,세종시,0.12
22,세종시,   
23,세종시,   
24,세종시,   
1,울산시,   
2,울산시,   
3,울산시,   
4,울산시,   
5,울산시,   
6,울산시,0.01
7,울산시,0.77
8,울산시,4.27
9,울산시,8.04
10,울산시,13.86
11,울산시,15.84
12,울산시,16.3
13,울산시,16.25
14,울산시,15.76
15,울산시,15.31
16,울산시,12.63
17,울산시,5.83
18,울산시,3.56
19,울산시,1.24
20,울산시,0.29
21,울산시,0.21
22,울산시,0.19
23,울산시,0
24,울산시,   
1,부산시,0.16
2,부산시,   
3,부산시,   
4,부산시,   
5,부산시,   
6,부산시,0
7,부산시,0.89
8,부산시,7.4
9,부산시,17.25
10,부산시,22
11,부산시,31.81
12,부산시,29.01
13,부산시,36.57
14,부산시,34.71
15,부산시,34.31
16,부산시,26.13
17,부산시,11.31
18,부산시,9.31
19,부산시,5.34
20,부산시,2.73
21,부산시,1.81
22,부산시,0.43
23,부산시,   
24,부산시,   
1,경기도,0
2,경기도,   
3,경기도,   
4,경기도,   
5,경기도,   
6,경기도,0
7,경기도,0.82
8,경기도,5.87
9,경기도,11.69
10,경기도,21
11,경기도,17.34
12,경기도,18.23
13,경기도,17.29
14,경기도,24.26
15,경기도,15.53
16,경기도,6.19
17,경기도,3.42
18,경기도,8.74
19,경기도,5.08
20,경기도,1.35
21,경기도,0.61
22,경기도,0.01
23,경기도,   
24,경기도,0.22
1,강원도,0.13
2,강원도,0.01
3,강원도,0
4,강원도,0.01
5,강원도,0
6,강원도,0.12
7,강원도,6.24
8,강원도,26.18
9,강원도,48.55
10,강원도,67.86
11,강원도,64.07
12,강원도,64.18
13,강원도,63.64
14,강원도,62.82
15,강원도,46.87
16,강원도,31.14
17,강원도,33.61
18,강원도,28.92
19,강원도,35.8
20,강원도,23.47
21,강원도,10.84
22,강원도,2.97
23,강원도,1.33
24,강원도,1
1,경상남도,1.18
2,경상남도,0.95
3,경상남도,0.6
4,경상남도,0.43
5,경상남도,0.02
6,경상남도,0.02
7,경상남도,5.15
8,경상남도,24.94
9,경상남도,55.65
10,경상남도,95.62
11,경상남도,86.66
12,경상남도,89.87
13,경상남도,103.56
14,경상남도,104.28
15,경상남도,80.88
16,경상남도,64.17
17,경상남도,51.14
18,경상남도,39.7
19,경상남도,25.91
20,경상남도,23.57
21,경상남도,27.59
22,경상남도,20.16
23,경상남도,8.1
24,경상남도,1.03
1,경상북도,1.26
2,경상북도,0.42
3,경상북도,0.03
4,경상북도,0.02
5,경상북도,0.01
6,경상북도,0.05
7,경상북도,3.84
8,경상북도,30.54
9,경상북도,61.73
10,경상북도,90.51
11,경상북도,104.6
12,경상북도,114.33
13,경상북도,136.61
14,경상북도,138.18
15,경상북도,116.45
16,경상북도,87.98
17,경상북도,66.37
18,경상북도,46.91
19,경상북도,42.7
20,경상북도,55.91
21,경상북도,53.06
22,경상북도,34.92
23,경상북도,10.59
24,경상북도,2.85
1,전라남도,1.73
2,전라남도,1.29
3,전라남도,0.64
4,전라남도,0.02
5,전라남도,0
6,전라남도,0.06
7,전라남도,30.35
8,전라남도,164.63
9,전라남도,341.46
10,전라남도,484.75
11,전라남도,223.53
12,전라남도,230.73
13,전라남도,306.35
