지점,지점명,일시,합계 일사량(MJ/m2)
90,속초,2024-04,211.45
90,속초,2024-05,646.8
90,속초,2024-06,687.49
90,속초,2024-07,498.29
90,속초,2024-08,588.88
90,속초,2024-09,336.95
90,속초,2024-10,291.84
90,속초,2024-11,269.69
93,북춘천,2023-11,275.53
93,북춘천,2023-12,226.19
93,북춘천,2024-01,289.42
93,북춘천,2024-02,277.25
93,북춘천,2024-03,456.76
93,북춘천,2024-04,548.13
93,북춘천,2024-05,661.55
93,북춘천,2024-06,717.25
93,북춘천,2024-07,457.72
93,북춘천,2024-08,600.72
93,북춘천,2024-09,438.4
93,북춘천,2024-10,343.41
93,북춘천,2024-11,306
95,철원,2023-11,263.88
95,철원,2023-12,208.16
95,철원,2024-01,275.31
95,철원,2024-02,270.93
95,철원,2024-03,456.37
95,철원,2024-04,553.23
95,철원,2024-05,669.74
95,철원,2024-06,735.4
95,철원,2024-07,448.01
95,철원,2024-08,597.5
95,철원,2024-09,440
95,철원,2024-10,338.82
95,철원,2024-11,286.9
98,동두천,2023-11,265
98,동두천,2023-12,221.07
98,동두천,2024-01,265.52
98,동두천,2024-02,262.67
98,동두천,2024-03,451.79
98,동두천,2024-04,530.61
98,동두천,2024-05,634.12
98,동두천,2024-06,700.97
98,동두천,2024-07,402.69
98,동두천,2024-08,538.98
98,동두천,2024-09,415.65
98,동두천,2024-10,352.74
98,동두천,2024-11,284.53
99,파주,2023-11,273.12
99,파주,2023-12,220.14
99,파주,2024-01,273.26
99,파주,2024-02,269.59
99,파주,2024-03,471.67
99,파주,2024-04,541.26
99,파주,2024-05,636.51
99,파주,2024-06,717.99
99,파주,2024-07,434.63
99,파주,2024-08,598.78
99,파주,2024-09,443.05
99,파주,2024-10,356.24
99,파주,2024-11,290.72
100,대관령,2023-11,308.68
100,대관령,2023-12,249.41
100,대관령,2024-01,301.53
100,대관령,2024-02,265.17
100,대관령,2024-03,432.38
100,대관령,2024-04,530.35
100,대관령,2024-05,573.93
100,대관령,2024-06,695.96
100,대관령,2024-07,468.15
100,대관령,2024-08,596.01
100,대관령,2024-09,396.67
100,대관령,2024-10,321.05
100,대관령,2024-11,274.61
101,춘천,2023-11,259.71
101,춘천,2023-12,208.82
101,춘천,2024-01,258.9
101,춘천,2024-02,263.58
101,춘천,2024-03,427.33
101,춘천,2024-04,531.57
101,춘천,2024-05,659.64
101,춘천,2024-06,692.15
101,춘천,2024-07,457.84
101,춘천,2024-08,603.47
101,춘천,2024-09,433.29
101,춘천,2024-10,332.01
101,춘천,2024-11,290.84
102,백령도,2023-11,252.2
102,백령도,2023-12,174.06
102,백령도,2024-01,241.02
102,백령도,2024-02,314.5
102,백령도,2024-03,530.97
102,백령도,2024-04,622.73
102,백령도,2024-05,681.18
102,백령도,2024-06,762.86
102,백령도,2024-07,461.47
102,백령도,2024-08,630.5
102,백령도,2024-09,490.53
102,백령도,2024-10,415.35
102,백령도,2024-11,286.37
104,북강릉,2023-11,326.58
104,북강릉,2023-12,247.26
104,북강릉,2024-01,289.54
104,북강릉,2024-02,221.22
104,북강릉,2024-03,460.78
104,북강릉,2024-04,525.29
104,북강릉,2024-05,684.93
104,북강릉,2024-06,683.17
104,북강릉,2024-07,485.8
104,북강릉,2024-08,590.04
104,북강릉,2024-09,353.92
104,북강릉,2024-10,302.46
104,북강릉,2024-11,256.63
105,강릉,2023-11,303.29
105,강릉,2023-12,237.24
105,강릉,2024-01,275.84
105,강릉,2024-02,204.83
105,강릉,2024-03,440.45
105,강릉,2024-04,504.13
105,강릉,2024-05,649.98
105,강릉,2024-06,618.53
105,강릉,2024-07,472.88
105,강릉,2024-08,565.58
105,강릉,2024-09,343.86
105,강릉,2024-10,300.64
105,강릉,2024-11,247.54
106,동해,2024-04,216.02
106,동해,2024-05,673.75
106,동해,2024-06,686.36
106,동해,2024-07,496
106,동해,2024-08,605.86
106,동해,2024-09,386.7
106,동해,2024-10,306.6
106,동해,2024-11,169.29
108,서울,2023-11,284.12
108,서울,2023-12,217.32
108,서울,2024-01,279.71
108,서울,2024-02,259.99
108,서울,2024-03,438.18
108,서울,2024-04,558.15
108,서울,2024-05,686.87
108,서울,2024-06,714.52
108,서울,2024-07,402.43
108,서울,2024-08,507.93
108,서울,2024-09,439.21
108,서울,2024-10,367.11
108,서울,2024-11,293.01
112,인천,2023-11,269.37
112,인천,2023-12,215.72
112,인천,2024-01,271.29
112,인천,2024-02,279.37
112,인천,2024-03,492.39
112,인천,2024-04,561.21
112,인천,2024-05,675.22
112,인천,2024-06,741.25
112,인천,2024-07,455.02
112,인천,2024-08,618.19
112,인천,2024-09,459.97
112,인천,2024-10,374.1
112,인천,2024-11,288.86
114,원주,2023-11,286.92
114,원주,2023-12,219.52
114,원주,2024-01,263.68
114,원주,2024-02,256.07
114,원주,2024-03,454.8
114,원주,2024-04,529.25
114,원주,2024-05,708.13
114,원주,2024-06,687.8
114,원주,2024-07,434.45
114,원주,2024-08,574.45
114,원주,2024-09,442.98
114,원주,2024-10,346.09
114,원주,2024-11,284.88
115,울릉도,2023-11,236.98
115,울릉도,2023-12,162.08
115,울릉도,2024-01,203.56
115,울릉도,2024-02,204.73
115,울릉도,2024-03,411.99
115,울릉도,2024-04,503.87
115,울릉도,2024-05,656.8
115,울릉도,2024-06,632.52
115,울릉도,2024-07,541.89
115,울릉도,2024-08,555.37
115,울릉도,2024-09,390.04
115,울릉도,2024-10,278.73
115,울릉도,2024-11,195.15
119,수원,2023-11,276.07
119,수원,2023-12,216.74
119,수원,2024-01,265.75
119,수원,2024-02,245.95
119,수원,2024-03,472.32
119,수원,2024-04,551.23
119,수원,2024-05,680.16
119,수원,2024-06,712.7
119,수원,2024-07,439.49
119,수원,2024-08,581.56
119,수원,2024-09,455.02
119,수원,2024-10,363.49
119,수원,2024-11,290.06
127,충주,2023-11,286.64
127,충주,2023-12,202.23
127,충주,2024-01,238.45
127,충주,2024-02,235.03
127,충주,2024-03,430.61
127,충주,2024-04,528.64
127,충주,2024-05,708.06
127,충주,2024-06,682.89
127,충주,2024-07,465.56
127,충주,2024-08,605.88
127,충주,2024-09,460.15
127,충주,2024-10,335.21
127,충주,2024-11,274.27
129,서산,2023-11,254.29
129,서산,2023-12,192.09
129,서산,2024-01,254.83
129,서산,2024-02,255.38
129,서산,2024-03,481.26
129,서산,2024-04,541.27
129,서산,2024-05,686.56
129,서산,2024-06,714.29
129,서산,2024-07,452.91
129,서산,2024-08,560.22
129,서산,2024-09,452.55
129,서산,2024-10,361.52
129,서산,2024-11,301
131,청주,2023-11,289.43
131,청주,2023-12,212.76
131,청주,2024-01,246.33
131,청주,2024-02,233.16
131,청주,2024-03,471.12
131,청주,2024-04,537.51
131,청주,2024-05,728.92
131,청주,2024-06,721.63
131,청주,2024-07,504.93
131,청주,2024-08,615.31
131,청주,2024-09,474.92
131,청주,2024-10,339.17
131,청주,2024-11,297.59
133,대전,2023-11,293.28
133,대전,2023-12,233.54
133,대전,2024-01,258.56
133,대전,2024-02,257.65
133,대전,2024-03,475.82
133,대전,2024-04,540.2
133,대전,2024-05,720.64
133,대전,2024-06,697.02
133,대전,2024-07,460.51
133,대전,2024-08,612.88
133,대전,2024-09,485.82
133,대전,2024-10,340.01
133,대전,2024-11,308.4
135,추풍령,2023-11,305.05
135,추풍령,2023-12,237.97
135,추풍령,2024-01,282.35
135,추풍령,2024-02,245.25
135,추풍령,2024-03,468.19
135,추풍령,2024-04,511.78
135,추풍령,2024-05,709.16
135,추풍령,2024-06,683.76
135,추풍령,2024-07,478.38
135,추풍령,2024-08,631.16
135,추풍령,2024-09,451.66
135,추풍령,2024-10,305.51
135,추풍령,2024-11,292.46
136,안동,2023-11,326.52
136,안동,2023-12,264
136,안동,2024-01,304.35
136,안동,2024-02,255.71
136,안동,2024-03,457.57
136,안동,2024-04,542.49
136,안동,2024-05,719.62
136,안동,2024-06,686.71
136,안동,2024-07,535.42
136,안동,2024-08,637.23
136,안동,2024-09,478.28
136,안동,2024-10,330.36
136,안동,2024-11,293.83
137,상주,2023-11,313.82
137,상주,2023-12,247.08
137,상주,2024-01,290.34
137,상주,2024-02,256.97
137,상주,2024-03,457.3
137,상주,2024-04,517.17
137,상주,2024-05,713.2
137,상주,2024-06,702.14
137,상주,2024-07,500.75
137,상주,2024-08,654.82
137,상주,2024-09,463.3
137,상주,2024-10,338.72
137,상주,2024-11,297.12
138,포항,2023-11,339.02
138,포항,2023-12,267.53
138,포항,2024-01,301.4
138,포항,2024-02,235.32
138,포항,2024-03,461.5
138,포항,2024-04,504.71
138,포항,2024-05,724.89
138,포항,2024-06,654.9
138,포항,2024-07,534.44
138,포항,2024-08,650.3
138,포항,2024-09,421.33
138,포항,2024-10,313.9
138,포항,2024-11,258.65
143,대구,2023-11,335.24
143,대구,2023-12,264.12
143,대구,2024-01,311.95
143,대구,2024-02,258.08
143,대구,2024-03,469.72
143,대구,2024-04,511.52
143,대구,2024-05,723.92
143,대구,2024-06,644.38
143,대구,2024-07,515.32
143,대구,2024-08,634.38
143,대구,2024-09,454.92
143,대구,2024-10,347.7
143,대구,2024-11,292.79
146,전주,2023-11,269.56
146,전주,2023-12,213.67
146,전주,2024-01,260.14
146,전주,2024-02,248.51
146,전주,2024-03,449.55
146,전주,2024-04,496.14
146,전주,2024-05,686.79
146,전주,2024-06,624.13
146,전주,2024-07,474.42
146,전주,2024-08,583.89
146,전주,2024-09,452.46
146,전주,2024-10,343.17
146,전주,2024-11,278.32
152,울산,2023-11,347.51
152,울산,2023-12,277.38
152,울산,2024-01,309.49
152,울산,2024-02,247.49
152,울산,2024-03,481.87
152,울산,2024-04,499
152,울산,2024-05,711.7
152,울산,2024-06,599.66
152,울산,2024-07,564.56
152,울산,2024-08,654.79
152,울산,2024-09,453.19
152,울산,2024-10,316.49
152,울산,2024-11,289.55
155,창원,2023-11,317.48
155,창원,2023-12,252.86
155,창원,2024-01,292.07
155,창원,2024-02,254.16
155,창원,2024-03,465.11
155,창원,2024-04,475.77
155,창원,2024-05,699.7
155,창원,2024-06,589.97
155,창원,2024-07,496.09
155,창원,2024-08,655.65
155,창원,2024-09,484.13
155,창원,2024-10,365.67
155,창원,2024-11,304.85
156,광주,2023-11,293.97
156,광주,2023-12,231.34
156,광주,2024-01,294.22
156,광주,2024-02,277.48
156,광주,2024-03,472.09
156,광주,2024-04,501.88
156,광주,2024-05,707.88
156,광주,2024-06,629.59
156,광주,2024-07,451.46
156,광주,2024-08,626.66
156,광주,2024-09,479.05
156,광주,2024-10,387.53
156,광주,2024-11,312.84
159,부산,2023-11,361.4
159,부산,2023-12,298.41
159,부산,2024-01,342.85
159,부산,2024-02,278.68
159,부산,2024-03,507.97
159,부산,2024-04,527.18
159,부산,2024-05,743.56
159,부산,2024-06,594.02
159,부산,2024-07,546.79
159,부산,2024-08,707.85
159,부산,2024-09,516.15
159,부산,2024-10,355.89
159,부산,2024-11,322.67
162,통영,2023-11,345.67
162,통영,2023-12,285.73
162,통영,2024-01,320.15
162,통영,2024-02,284.05
162,통영,2024-03,484.78
162,통영,2024-04,485.72
162,통영,2024-05,668.82
162,통영,2024-06,575.13
162,통영,2024-07,471.63
162,통영,2024-08,697.07
162,통영,2024-09,498.53
162,통영,2024-10,369.05
162,통영,2024-11,308.3
165,목포,2023-11,285.25
165,목포,2023-12,210.27
165,목포,2024-01,276.61
165,목포,2024-02,256.29
165,목포,2024-03,457.33
165,목포,2024-04,501.6
165,목포,2024-05,724.54
165,목포,2024-06,583.78
165,목포,2024-07,519.78
165,목포,2024-08,648.68
165,목포,2024-09,502.43
165,목포,2024-10,359.89
165,목포,2024-11,300.49
168,여수,2023-11,350.79
168,여수,2023-12,281.54
168,여수,2024-01,320.5
168,여수,2024-02,285.87
168,여수,2024-03,497.12
168,여수,2024-04,486.56
168,여수,2024-05,722.77
168,여수,2024-06,581.78
168,여수,2024-07,523.86
168,여수,2024-08,704.43
168,여수,2024-09,522.19
168,여수,2024-10,401.52
168,여수,2024-11,321.17
169,흑산도,2023-11,232.82
169,흑산도,2023-12,178.75
169,흑산도,2024-01,239.06
169,흑산도,2024-02,258.76
169,흑산도,2024-03,467.25
169,흑산도,2024-04,545.37
169,흑산도,2024-05,716.08
169,흑산도,2024-06,591.6
169,흑산도,2024-07,470.47
169,흑산도,2024-08,712.84
169,흑산도,2024-09,551.38
169,흑산도,2024-10,346.82
169,흑산도,2024-11,287.94
170,완도,2024-03,64.89
170,완도,2024-04,486.25
170,완도,2024-05,698.46
170,완도,2024-06,548.54
170,완도,2024-07,536.04
170,완도,2024-08,685.58
170,완도,2024-09,489.69
170,완도,2024-10,356.12
170,완도,2024-11,299.47
172,고창,2023-11,283.07
172,고창,2023-12,194.62
172,고창,2024-01,283.22
172,고창,2024-02,266.78
172,고창,2024-03,467.86
172,고창,2024-04,528.28
172,고창,2024-05,352.75
172,고창,2024-06,598.6
172,고창,2024-07,490.57
172,고창,2024-08,629.01
172,고창,2024-09,509.28
172,고창,2024-10,369.46
172,고창,2024-11,299.75
177,홍성,2023-11,262.7
177,홍성,2023-12,181.53
177,홍성,2024-01,248.98
177,홍성,2024-02,238.59
177,홍성,2024-03,459.36
177,홍성,2024-04,519.68
177,홍성,2024-05,663.35
177,홍성,2024-06,702.15
177,홍성,2024-07,461.43
177,홍성,2024-08,576.94
177,홍성,2024-09,451.91
177,홍성,2024-10,341.06
177,홍성,2024-11,278.25
181,서청주,2023-11,294.61
181,서청주,2023-12,223
181,서청주,2024-01,260.59
181,서청주,2024-02,251.04
181,서청주,2024-03,477.89
