지점,지점명,일시,합계 일사량(MJ/m2),위도,경도
90,속초,24-4,211.45,38.25085,128.56473
90,속초,24-5,646.8,38.25085,128.56473
90,속초,24-6,687.49,38.25085,128.56473
90,속초,24-7,498.29,38.25085,128.56473
90,속초,24-8,588.88,38.25085,128.56473
90,속초,24-9,336.95,38.25085,128.56473
90,속초,24-10,291.84,38.25085,128.56473
90,속초,24-11,269.69,38.25085,128.56473
93,북춘천,23-11,275.53,37.94738,127.75443
93,북춘천,23-12,226.19,37.94738,127.75443
93,북춘천,24-1,289.42,37.94738,127.75443
93,북춘천,24-2,277.25,37.94738,127.75443
93,북춘천,24-3,456.76,37.94738,127.75443
93,북춘천,24-4,548.13,37.94738,127.75443
93,북춘천,24-5,661.55,37.94738,127.75443
93,북춘천,24-6,717.25,37.94738,127.75443
93,북춘천,24-7,457.72,37.94738,127.75443
93,북춘천,24-8,600.72,37.94738,127.75443
93,북춘천,24-9,438.4,37.94738,127.75443
93,북춘천,24-10,343.41,37.94738,127.75443
93,북춘천,24-11,306,37.94738,127.75443
95,철원,23-11,263.88,38.14787,127.3042
95,철원,23-12,208.16,38.14787,127.3042
95,철원,24-1,275.31,38.14787,127.3042
95,철원,24-2,270.93,38.14787,127.3042
95,철원,24-3,456.37,38.14787,127.3042
95,철원,24-4,553.23,38.14787,127.3042
95,철원,24-5,669.74,38.14787,127.3042
95,철원,24-6,735.4,38.14787,127.3042
95,철원,24-7,448.01,38.14787,127.3042
95,철원,24-8,597.5,38.14787,127.3042
95,철원,24-9,440,38.14787,127.3042
95,철원,24-10,338.82,38.14787,127.3042
95,철원,24-11,286.9,38.14787,127.3042
98,동두천,23-11,265,37.90188,127.0607
98,동두천,23-12,221.07,37.90188,127.0607
98,동두천,24-1,265.52,37.90188,127.0607
98,동두천,24-2,262.67,37.90188,127.0607
98,동두천,24-3,451.79,37.90188,127.0607
98,동두천,24-4,530.61,37.90188,127.0607
98,동두천,24-5,634.12,37.90188,127.0607
98,동두천,24-6,700.97,37.90188,127.0607
98,동두천,24-7,402.69,37.90188,127.0607
98,동두천,24-8,538.98,37.90188,127.0607
98,동두천,24-9,415.65,37.90188,127.0607
98,동두천,24-10,352.74,37.90188,127.0607
98,동두천,24-11,284.53,37.90188,127.0607
99,파주,23-11,273.12,37.88589,126.76648
99,파주,23-12,220.14,37.88589,126.76648
99,파주,24-1,273.26,37.88589,126.76648
99,파주,24-2,269.59,37.88589,126.76648
99,파주,24-3,471.67,37.88589,126.76648
99,파주,24-4,541.26,37.88589,126.76648
99,파주,24-5,636.51,37.88589,126.76648
99,파주,24-6,717.99,37.88589,126.76648
99,파주,24-7,434.63,37.88589,126.76648
99,파주,24-8,598.78,37.88589,126.76648
99,파주,24-9,443.05,37.88589,126.76648
99,파주,24-10,356.24,37.88589,126.76648
99,파주,24-11,290.72,37.88589,126.76648
100,대관령,23-11,308.68,37.67713,128.71834
100,대관령,23-12,249.41,37.67713,128.71834
100,대관령,24-1,301.53,37.67713,128.71834
100,대관령,24-2,265.17,37.67713,128.71834
100,대관령,24-3,432.38,37.67713,128.71834
100,대관령,24-4,530.35,37.67713,128.71834
100,대관령,24-5,573.93,37.67713,128.71834
100,대관령,24-6,695.96,37.67713,128.71834
100,대관령,24-7,468.15,37.67713,128.71834
100,대관령,24-8,596.01,37.67713,128.71834
100,대관령,24-9,396.67,37.67713,128.71834
100,대관령,24-10,321.05,37.67713,128.71834
100,대관령,24-11,274.61,37.67713,128.71834
101,춘천,23-11,259.71,37.90262,127.7357
101,춘천,23-12,208.82,37.90262,127.7357
101,춘천,24-1,258.9,37.90262,127.7357
101,춘천,24-2,263.58,37.90262,127.7357
101,춘천,24-3,427.33,37.90262,127.7357
101,춘천,24-4,531.57,37.90262,127.7357
101,춘천,24-5,659.64,37.90262,127.7357
101,춘천,24-6,692.15,37.90262,127.7357
101,춘천,24-7,457.84,37.90262,127.7357
101,춘천,24-8,603.47,37.90262,127.7357
101,춘천,24-9,433.29,37.90262,127.7357
101,춘천,24-10,332.01,37.90262,127.7357
101,춘천,24-11,290.84,37.90262,127.7357
102,백령도,23-11,252.2,37.97396,124.71237
102,백령도,23-12,174.06,37.97396,124.71237
102,백령도,24-1,241.02,37.97396,124.71237
102,백령도,24-2,314.5,37.97396,124.71237
102,백령도,24-3,530.97,37.97396,124.71237
102,백령도,24-4,622.73,37.97396,124.71237
102,백령도,24-5,681.18,37.97396,124.71237
102,백령도,24-6,762.86,37.97396,124.71237
102,백령도,24-7,461.47,37.97396,124.71237
102,백령도,24-8,630.5,37.97396,124.71237
102,백령도,24-9,490.53,37.97396,124.71237
102,백령도,24-10,415.35,37.97396,124.71237
102,백령도,24-11,286.37,37.97396,124.71237
104,북강릉,23-11,326.58,37.80456,128.85535
104,북강릉,23-12,247.26,37.80456,128.85535
104,북강릉,24-1,289.54,37.80456,128.85535
104,북강릉,24-2,221.22,37.80456,128.85535
104,북강릉,24-3,460.78,37.80456,128.85535
104,북강릉,24-4,525.29,37.80456,128.85535
104,북강릉,24-5,684.93,37.80456,128.85535
104,북강릉,24-6,683.17,37.80456,128.85535
104,북강릉,24-7,485.8,37.80456,128.85535
104,북강릉,24-8,590.04,37.80456,128.85535
104,북강릉,24-9,353.92,37.80456,128.85535
104,북강릉,24-10,302.46,37.80456,128.85535
104,북강릉,24-11,256.63,37.80456,128.85535
105,강릉,23-11,303.29,37.75147,128.89099
105,강릉,23-12,237.24,37.75147,128.89099
105,강릉,24-1,275.84,37.75147,128.89099
105,강릉,24-2,204.83,37.75147,128.89099
105,강릉,24-3,440.45,37.75147,128.89099
105,강릉,24-4,504.13,37.75147,128.89099
105,강릉,24-5,649.98,37.75147,128.89099
105,강릉,24-6,618.53,37.75147,128.89099
105,강릉,24-7,472.88,37.75147,128.89099
105,강릉,24-8,565.58,37.75147,128.89099
105,강릉,24-9,343.86,37.75147,128.89099
105,강릉,24-10,300.64,37.75147,128.89099
105,강릉,24-11,247.54,37.75147,128.89099
106,동해,24-4,216.02,37.50709,129.12433
106,동해,24-5,673.75,37.50709,129.12433
106,동해,24-6,686.36,37.50709,129.12433
106,동해,24-7,496,37.50709,129.12433
106,동해,24-8,605.86,37.50709,129.12433
106,동해,24-9,386.7,37.50709,129.12433
106,동해,24-10,306.6,37.50709,129.12433
106,동해,24-11,169.29,37.50709,129.12433
108,서울,23-11,284.12,37.57142,126.9658
108,서울,23-12,217.32,37.57142,126.9658
108,서울,24-1,279.71,37.57142,126.9658
108,서울,24-2,259.99,37.57142,126.9658
108,서울,24-3,438.18,37.57142,126.9658
108,서울,24-4,558.15,37.57142,126.9658
108,서울,24-5,686.87,37.57142,126.9658
108,서울,24-6,714.52,37.57142,126.9658
108,서울,24-7,402.43,37.57142,126.9658
108,서울,24-8,507.93,37.57142,126.9658
108,서울,24-9,439.21,37.57142,126.9658
108,서울,24-10,367.11,37.57142,126.9658
108,서울,24-11,293.01,37.57142,126.9658
112,인천,23-11,269.37,37.47772,126.6249
112,인천,23-12,215.72,37.47772,126.6249
112,인천,24-1,271.29,37.47772,126.6249
112,인천,24-2,279.37,37.47772,126.6249
112,인천,24-3,492.39,37.47772,126.6249
112,인천,24-4,561.21,37.47772,126.6249
112,인천,24-5,675.22,37.47772,126.6249
112,인천,24-6,741.25,37.47772,126.6249
112,인천,24-7,455.02,37.47772,126.6249
112,인천,24-8,618.19,37.47772,126.6249
112,인천,24-9,459.97,37.47772,126.6249
112,인천,24-10,374.1,37.47772,126.6249
112,인천,24-11,288.86,37.47772,126.6249
114,원주,23-11,286.92,37.33749,127.94659
114,원주,23-12,219.52,37.33749,127.94659
114,원주,24-1,263.68,37.33749,127.94659
114,원주,24-2,256.07,37.33749,127.94659
114,원주,24-3,454.8,37.33749,127.94659
114,원주,24-4,529.25,37.33749,127.94659
114,원주,24-5,708.13,37.33749,127.94659
114,원주,24-6,687.8,37.33749,127.94659
114,원주,24-7,434.45,37.33749,127.94659
114,원주,24-8,574.45,37.33749,127.94659
114,원주,24-9,442.98,37.33749,127.94659
114,원주,24-10,346.09,37.33749,127.94659
114,원주,24-11,284.88,37.33749,127.94659
115,울릉도,23-11,236.98,37.48129,130.89864
115,울릉도,23-12,162.08,37.48129,130.89864
115,울릉도,24-1,203.56,37.48129,130.89864
115,울릉도,24-2,204.73,37.48129,130.89864
115,울릉도,24-3,411.99,37.48129,130.89864
115,울릉도,24-4,503.87,37.48129,130.89864
115,울릉도,24-5,656.8,37.48129,130.89864
115,울릉도,24-6,632.52,37.48129,130.89864
115,울릉도,24-7,541.89,37.48129,130.89864
115,울릉도,24-8,555.37,37.48129,130.89864
115,울릉도,24-9,390.04,37.48129,130.89864
115,울릉도,24-10,278.73,37.48129,130.89864
115,울릉도,24-11,195.15,37.48129,130.89864
119,수원,23-11,276.07,37.25746,126.983
119,수원,23-12,216.74,37.25746,126.983
119,수원,24-1,265.75,37.25746,126.983
119,수원,24-2,245.95,37.25746,126.983
119,수원,24-3,472.32,37.25746,126.983
119,수원,24-4,551.23,37.25746,126.983
119,수원,24-5,680.16,37.25746,126.983
119,수원,24-6,712.7,37.25746,126.983
119,수원,24-7,439.49,37.25746,126.983
119,수원,24-8,581.56,37.25746,126.983
119,수원,24-9,455.02,37.25746,126.983
119,수원,24-10,363.49,37.25746,126.983
119,수원,24-11,290.06,37.25746,126.983
127,충주,23-11,286.64,36.97045,127.9525
127,충주,23-12,202.23,36.97045,127.9525
127,충주,24-1,238.45,36.97045,127.9525
127,충주,24-2,235.03,36.97045,127.9525
127,충주,24-3,430.61,36.97045,127.9525
127,충주,24-4,528.64,36.97045,127.9525
127,충주,24-5,708.06,36.97045,127.9525
127,충주,24-6,682.89,36.97045,127.9525
127,충주,24-7,465.56,36.97045,127.9525
127,충주,24-8,605.88,36.97045,127.9525
127,충주,24-9,460.15,36.97045,127.9525
127,충주,24-10,335.21,36.97045,127.9525
127,충주,24-11,274.27,36.97045,127.9525
129,서산,23-11,254.29,36.77658,126.4939
129,서산,23-12,192.09,36.77658,126.4939
129,서산,24-1,254.83,36.77658,126.4939
129,서산,24-2,255.38,36.77658,126.4939
129,서산,24-3,481.26,36.77658,126.4939
129,서산,24-4,541.27,36.77658,126.4939
129,서산,24-5,686.56,36.77658,126.4939
129,서산,24-6,714.29,36.77658,126.4939
129,서산,24-7,452.91,36.77658,126.4939
129,서산,24-8,560.22,36.77658,126.4939
129,서산,24-9,452.55,36.77658,126.4939
129,서산,24-10,361.52,36.77658,126.4939
129,서산,24-11,301,36.77658,126.4939
131,청주,23-11,289.43,36.63924,127.44066
131,청주,23-12,212.76,36.63924,127.44066
131,청주,24-1,246.33,36.63924,127.44066
131,청주,24-2,233.16,36.63924,127.44066
131,청주,24-3,471.12,36.63924,127.44066
131,청주,24-4,537.51,36.63924,127.44066
131,청주,24-5,728.92,36.63924,127.44066
131,청주,24-6,721.63,36.63924,127.44066
131,청주,24-7,504.93,36.63924,127.44066
131,청주,24-8,615.31,36.63924,127.44066
131,청주,24-9,474.92,36.63924,127.44066
131,청주,24-10,339.17,36.63924,127.44066
131,청주,24-11,297.59,36.63924,127.44066
133,대전,23-11,293.28,36.37199,127.3721
133,대전,23-12,233.54,36.37199,127.3721
133,대전,24-1,258.56,36.37199,127.3721
133,대전,24-2,257.65,36.37199,127.3721
133,대전,24-3,475.82,36.37199,127.3721
133,대전,24-4,540.2,36.37199,127.3721
133,대전,24-5,720.64,36.37199,127.3721
133,대전,24-6,697.02,36.37199,127.3721
133,대전,24-7,460.51,36.37199,127.3721
133,대전,24-8,612.88,36.37199,127.3721
133,대전,24-9,485.82,36.37199,127.3721
133,대전,24-10,340.01,36.37199,127.3721
133,대전,24-11,308.4,36.37199,127.3721
135,추풍령,23-11,305.05,36.22025,127.99458
135,추풍령,23-12,237.97,36.22025,127.99458
135,추풍령,24-1,282.35,36.22025,127.99458
135,추풍령,24-2,245.25,36.22025,127.99458
135,추풍령,24-3,468.19,36.22025,127.99458
135,추풍령,24-4,511.78,36.22025,127.99458
135,추풍령,24-5,709.16,36.22025,127.99458
135,추풍령,24-6,683.76,36.22025,127.99458
135,추풍령,24-7,478.38,36.22025,127.99458
135,추풍령,24-8,631.16,36.22025,127.99458
135,추풍령,24-9,451.66,36.22025,127.99458
135,추풍령,24-10,305.51,36.22025,127.99458
135,추풍령,24-11,292.46,36.22025,127.99458
136,안동,23-11,326.52,36.57293,128.70734
136,안동,23-12,264,36.57293,128.70734
136,안동,24-1,304.35,36.57293,128.70734
136,안동,24-2,255.71,36.57293,128.70734
136,안동,24-3,457.57,36.57293,128.70734
136,안동,24-4,542.49,36.57293,128.70734
136,안동,24-5,719.62,36.57293,128.70734
136,안동,24-6,686.71,36.57293,128.70734
136,안동,24-7,535.42,36.57293,128.70734
136,안동,24-8,637.23,36.57293,128.70734
