년월,시구,계약구분,단위 전력사용량 kwh/count,단위 전력사용량(%)
202008,강원도,"공공 행정, 국방 및 사회보장 행정",9662.32894,10.00332177
202008,강원도,교육 서비스업,6391.372311,6.616929952
202008,강원도,금융 및 보험업,4509.944393,4.669104644
202008,강원도,보건업 및 사회복지 서비스업,5126.272258,5.307183309
202008,강원도,부동산업,1879.998701,1.946345653
202008,강원도,숙박 및 음식점업,2930.523877,3.033944868
202008,강원도,운수 및 창고업,3749.982554,3.882323024
202008,강원도,"전기, 가스, 증기 및 공기 조절 공급업",7101.485656,7.352103876
202008,강원도,"전문, 과학 및 기술 서비스업",1796.965932,1.860382578
202008,강원도,정보통신업,3008.262876,3.11442735
202008,강원도,제조업,50434.06654,52.21393298
202008,경기도,"공공 행정, 국방 및 사회보장 행정",17220.22015,1.065451158
202008,경기도,교육 서비스업,10385.1679,0.642552132
202008,경기도,국제 및 외국기관,1473820.2,91.18834868
202008,경기도,금융 및 보험업,10420.78669,0.644755941
202008,경기도,보건업 및 사회복지 서비스업,9962.457556,0.616398156
202008,경기도,부동산업,3123.863148,0.193279969
202008,경기도,숙박 및 음식점업,2935.327756,0.181614888
202008,경기도,운수 및 창고업,8385.900301,0.51885325
202008,경기도,"전기, 가스, 증기 및 공기 조절 공급업",14128.11376,0.874136047
202008,경기도,"전문, 과학 및 기술 서비스업",14978.83515,0.926771965
202008,경기도,정보통신업,6356.002441,0.39325921
202008,경기도,제조업,44520.52966,2.7545786
202008,경상남도,"공공 행정, 국방 및 사회보장 행정",8491.219693,7.970980467
202008,경상남도,교육 서비스업,6631.94241,6.225617204
202008,경상남도,금융 및 보험업,5412.947334,5.0813074
202008,경상남도,보건업 및 사회복지 서비스업,8139.398664,7.640714774
202008,경상남도,부동산업,2709.197599,2.543210743
202008,경상남도,숙박 및 음식점업,2449.019323,2.298973044
202008,경상남도,운수 및 창고업,5102.754858,4.790119768
202008,경상남도,"전기, 가스, 증기 및 공기 조절 공급업",16880.28861,15.84606872
202008,경상남도,"전문, 과학 및 기술 서비스업",4259.106518,3.998159992
202008,경상남도,정보통신업,1682.217369,1.579151438
202008,경상남도,제조업,44768.57305,42.02569645
202008,경상북도,"공공 행정, 국방 및 사회보장 행정",6989.023826,1.224058725
202008,경상북도,교육 서비스업,10713.24178,1.876318839
202008,경상북도,국제 및 외국기관,420064.3333,73.57013296
