구분,태양광 발전량(MWh),전력 사용량(MWh),위도,경도
서울특별시,960.41,4438533.786,37.57,126.97
부산광역시,7087.39,1883785.621,35.1,129.03
대구광역시,4010.52,1318926.44,35.88,128.65
인천광역시,2757.63,2075730.673,37.456009,126.697451
광주광역시,5820.32,785929.551,35.17,126.89
대전광역시,1041.28,851834.056,36.37,127.37
울산광역시,3439.46,2871554.802,35.58,129.33
세종특별자치시,1932.14,294023.468,36.49,127.24
경기도,14979.27,10976452.49,37.9,127.06
충청북도,17875.83,2256293.583,36.64,127.78
충청남도,57149.81,4411688.124,36.68,126.6
전라남도,147418.15,2689689.912,34.81,127.19
경상북도,47516.62,3470234.339,36.44,129.04
경상남도,27349.1,2840866.499,35.16,128.04
제주특별자치도,30999.25,511679.405,33.51,126.53
강원도,28066.36,1263509.154,37.65,128.45
전라북도,32594.78,1658484.173,35.43,127.13
