구분,23년 누적 설비용량(KW),발전소 개수,위도,경도
서울특별시,247791.03 ,512,37.57,126.97
부산광역시,317737.20 ,644,35.1,129.03
대구광역시,420079.71 ,1505,35.88,128.65
인천광역시,252181.13 ,686,37.456009,126.697451
광주광역시,364205.08 ,1472,35.17,126.89
대전광역시,131386.92 ,487,36.37,127.37
울산광역시,165314.92 ,452,35.58,129.33
세종특별자치시,107164.30 ,404,36.49,127.24
경기도,2130345.16 ,9817,37.9,127.06
충청북도,1636352.17 ,9185,36.64,127.44
충청남도,3498746.86 ,16479,36.78,126.49
전라남도,5903322.39 ,17874,34.76,127.21
경상북도,3561772.95 ,17062,36.44,129.04
경상남도,2056528.97 ,8606,35.16,128.04
제주특별자치도,654329.24 ,1586,33.51,126.53
강원도,1978971.12 ,8016,37.95,127.75
전라북도,4607106.52 ,27309,35.37,127.13
