구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,위도,경도
서울특별시,3690.21,4506.49,5692.65,5151.06,6246.18,5669.51,4635.28,4702.84,4551.33,4952.23,3708.8,2786.44,37.57,126.97
부산광역시,16552.78,16014.02,21194.52,23182.39,22866.53,23670.28,19069.66,22588.61,18078.85,22562.89,18428.64,15680.79,35.1,129.03
대구광역시,23451.51,24021.02,32707.26,33621.53,34241.43,35745.38,28949.92,31789.4,26995.55,32094.46,26700.1,22168.66,35.88,128.65
인천광역시,8052.58,9992.43,12982.48,11999,14293.58,13720.34,11526,11947.1,11153.68,11921.03,8541.49,6809.84,37.456009,126.697451
광주광역시,17596.51,23520.9,31532.22,29135.16,30909.39,32029.03,23177.62,31310.26,26379.55,29996.53,20637.14,11072.52,35.17,126.89
대전광역시,3513.09,3940.12,5626.49,5323.66,5956.38,6017.75,4430.2,5148.17,4496.11,5009.09,3590.26,2736.82,36.37,127.37
울산광역시,7486.88,7163.67,10157.68,10618,10621.83,11541.2,10128,10403.66,8384.5,11077.42,9514.81,7880.9,35.58,129.33
세종특별자치시,4724.81,5795.22,8065.31,7332.54,8818.34,8632.85,6392.34,7375.6,6362.25,6977.6,5175.17,3398.66,36.49,127.24
경기도,96125.05,122294.1,163063.01,153173.97,185172.38,173452.59,144538.02,153068.94,138017.89,145965.18,109399.6,80593.86,37.9,127.06
충청북도,92987.71,109695.12,152983.22,145665.61,166521.27,166349.36,128502.06,143679.02,126539.89,134667.11,104753.26,70397.62,36.64,127.44
충청남도,221947.58,269002.74,361349.78,328672.46,366971.81,367768.35,280378.27,336207.09,284707.06,319150.59,219583.79,129865.29,36.78,126.49
전라남도,405338.23,495889.88,650520.7,589473.59,607752.62,618359.26,455614.82,662593.07,547720.3,626395.17,434782.9,288487.55,34.76,127.21
경상북도,249889.99,260803.1,357925.31,360262.22,381720.54,394881.28,312968.1,337131.17,295258.68,345076.94,277837.92,229384.91,36.44,129.04
경상남도,137044.81,141396.48,183099.5,182988.76,181122.2,191906.09,143608.11,178204.55,149106.28,181723.12,147677.23,122097.11,35.16,128.04
제주특별자치도,36945.81,46890.2,64839.46,65217.46,60312.35,58834.26,47042.76,67168.06,59303.45,68017.06,45306.34,28634.9,33.51,126.53
강원도,102653.16,148092.61,204305.78,191988.9,226017.19,215012.93,179363.29,176589.42,164846.45,175622.37,138887.55,96956.61,37.95,127.75
전라북도,357180.14,405649.52,549019.63,492354.6,533021.04,546738.66,414973.43,514665.65,430489.22,492891.38,341233.59,200732.06,35.37,127.13
