구분,면적(km^2),23년 누적 설비용량(KW),위도,경도
서울특별시,605,247791.03 ,37.57,126.97
부산광역시,770,317737.20 ,35.1,129.03
대구광역시,884,420079.71 ,35.88,128.65
인천광역시,1063,252181.13 ,37.456009,126.697451
광주광역시,501,364205.08 ,35.17,126.89
대전광역시,539,131386.92 ,36.37,127.37
울산광역시,1061,165314.92 ,35.58,129.33
세종특별자치시,465,107164.30 ,36.49,127.24
경기도,10183,2130345.16 ,37.9,127.06
충청북도,7407,1636352.17 ,36.64,127.44
충청남도,8226,3498746.86 ,36.78,126.49
전라남도,12319,5903322.39 ,34.76,127.21
경상북도,19031,3561772.95 ,36.44,129.04
경상남도,10540,2056528.97 ,35.16,128.04
제주특별자치도,1849,654329.24 ,33.51,126.53
강원도,16875,1978971.12 ,37.95,127.75
전라북도,8069,4607106.52 ,35.37,127.13
